matlabPath	/home/pi/GitStuff/459_Project_Code/Results/MATLAB_Results/04-10-16_14-46-19/
torqueListPath	/home/pi/GitStuff/459_Project_Code/Results/MATLAB_Results/04-10-16_14-46-19/dataForPi.csv
shankLength	1
thighLength	1
trunkLength	1
shankMass	1
thighMass	1
trunkMass	1
initialAngle_Knee	0
initialAngle_Hip	0
calibratedValues	(-678, -787, 365)
4.053115844726562500e-06,-6.780000000000000000e+02,-7.870000000000000000e+02,3.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.948116302490234375e-02,-6.780000000000000000e+02,-7.870000000000000000e+02,3.640000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
8.187508583068847656e-02,-6.780000000000000000e+02,-7.870000000000000000e+02,3.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.223192214965820312e-01,-6.780000000000000000e+02,-7.870000000000000000e+02,3.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
1.632380485534667969e-01,-6.780000000000000000e+02,-7.870000000000000000e+02,3.650000000000000000e+02,0.000000000000000000e+00,1.340000000000000045e-02
3.230261802673339844e-01,-6.780000000000000000e+02,-7.870000000000000000e+02,3.650000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00
